"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2019-03-08 12:01:14","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2","2019-03-08 12:01:15","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3","2019-03-08 12:01:16","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4","2019-03-08 12:01:17","192.168.141.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5","2019-03-08 12:01:21","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=1/256, ttl=64 (reply in 6)"
"6","2019-03-08 12:01:21","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=1/256, ttl=128 (request in 5)"
"7","2019-03-08 12:01:22","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=2/512, ttl=64 (reply in 8)"
"8","2019-03-08 12:01:22","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=2/512, ttl=128 (request in 7)"
"9","2019-03-08 12:01:23","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=3/768, ttl=64 (reply in 10)"
"10","2019-03-08 12:01:23","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=3/768, ttl=128 (request in 9)"
"11","2019-03-08 12:01:24","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=4/1024, ttl=64 (reply in 12)"
"12","2019-03-08 12:01:24","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=4/1024, ttl=128 (request in 11)"
"13","2019-03-08 12:01:25","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=5/1280, ttl=64 (reply in 14)"
"14","2019-03-08 12:01:25","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=5/1280, ttl=128 (request in 13)"
"15","2019-03-08 12:01:26","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=6/1536, ttl=64 (reply in 16)"
"16","2019-03-08 12:01:26","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=6/1536, ttl=128 (request in 15)"
"17","2019-03-08 12:01:27","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=7/1792, ttl=64 (reply in 18)"
"18","2019-03-08 12:01:27","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=7/1792, ttl=128 (request in 17)"
"19","2019-03-08 12:01:28","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=8/2048, ttl=64 (reply in 20)"
"20","2019-03-08 12:01:28","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=8/2048, ttl=128 (request in 19)"
"21","2019-03-08 12:01:29","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=9/2304, ttl=64 (reply in 22)"
"22","2019-03-08 12:01:29","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=9/2304, ttl=128 (request in 21)"
"23","2019-03-08 12:01:30","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=10/2560, ttl=64 (reply in 24)"
"24","2019-03-08 12:01:30","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=10/2560, ttl=128 (request in 23)"
"25","2019-03-08 12:01:31","Vmware_da:60:a4","Vmware_eb:e5:49","ARP","60","Who has 192.168.141.2? Tell 192.168.141.131"
"26","2019-03-08 12:01:31","Vmware_eb:e5:49","Vmware_da:60:a4","ARP","42","192.168.141.2 is at 00:50:56:eb:e5:49"
"27","2019-03-08 12:01:31","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=11/2816, ttl=64 (reply in 28)"
"28","2019-03-08 12:01:31","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=11/2816, ttl=128 (request in 27)"
"29","2019-03-08 12:01:32","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=12/3072, ttl=64 (reply in 30)"
"30","2019-03-08 12:01:32","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=12/3072, ttl=128 (request in 29)"
"31","2019-03-08 12:01:33","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=13/3328, ttl=64 (reply in 32)"
"32","2019-03-08 12:01:33","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=13/3328, ttl=128 (request in 31)"
"33","2019-03-08 12:01:33","fe80::cd84:820:10ff:fab3","ff02::1:3","LLMNR","84","Standard query 0x0440 A wpad"
"34","2019-03-08 12:01:33","192.168.141.1","224.0.0.252","LLMNR","64","Standard query 0x0440 A wpad"
"35","2019-03-08 12:01:33","fe80::cd84:820:10ff:fab3","ff02::1:3","LLMNR","84","Standard query 0x2657 AAAA wpad"
"36","2019-03-08 12:01:33","192.168.141.1","224.0.0.252","LLMNR","64","Standard query 0x2657 AAAA wpad"
"37","2019-03-08 12:01:34","fe80::cd84:820:10ff:fab3","ff02::1:3","LLMNR","84","Standard query 0x0440 A wpad"
"38","2019-03-08 12:01:34","192.168.141.1","224.0.0.252","LLMNR","64","Standard query 0x0440 A wpad"
"39","2019-03-08 12:01:34","fe80::cd84:820:10ff:fab3","ff02::1:3","LLMNR","84","Standard query 0x2657 AAAA wpad"
"40","2019-03-08 12:01:34","192.168.141.1","224.0.0.252","LLMNR","64","Standard query 0x2657 AAAA wpad"
"41","2019-03-08 12:01:34","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=14/3584, ttl=64 (reply in 42)"
"42","2019-03-08 12:01:34","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=14/3584, ttl=128 (request in 41)"
"43","2019-03-08 12:01:35","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=15/3840, ttl=64 (reply in 44)"
"44","2019-03-08 12:01:35","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=15/3840, ttl=128 (request in 43)"
"45","2019-03-08 12:01:36","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=16/4096, ttl=64 (reply in 46)"
"46","2019-03-08 12:01:36","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=16/4096, ttl=128 (request in 45)"
"47","2019-03-08 12:01:37","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=17/4352, ttl=64 (reply in 48)"
"48","2019-03-08 12:01:37","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=17/4352, ttl=128 (request in 47)"
"49","2019-03-08 12:01:38","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=18/4608, ttl=64 (reply in 50)"
"50","2019-03-08 12:01:38","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=18/4608, ttl=128 (request in 49)"
"51","2019-03-08 12:01:39","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=19/4864, ttl=64 (reply in 52)"
"52","2019-03-08 12:01:39","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=19/4864, ttl=128 (request in 51)"
"53","2019-03-08 12:01:40","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=20/5120, ttl=64 (reply in 54)"
"54","2019-03-08 12:01:40","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=20/5120, ttl=128 (request in 53)"
"55","2019-03-08 12:01:41","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=21/5376, ttl=64 (reply in 56)"
"56","2019-03-08 12:01:41","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=21/5376, ttl=128 (request in 55)"
"57","2019-03-08 12:01:42","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=22/5632, ttl=64 (reply in 58)"
"58","2019-03-08 12:01:42","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=22/5632, ttl=128 (request in 57)"
"59","2019-03-08 12:01:43","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=23/5888, ttl=64 (reply in 60)"
"60","2019-03-08 12:01:43","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=23/5888, ttl=128 (request in 59)"
"61","2019-03-08 12:01:44","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=24/6144, ttl=64 (reply in 62)"
"62","2019-03-08 12:01:44","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=24/6144, ttl=128 (request in 61)"
"63","2019-03-08 12:01:45","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=25/6400, ttl=64 (reply in 64)"
"64","2019-03-08 12:01:45","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=25/6400, ttl=128 (request in 63)"
"65","2019-03-08 12:01:46","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=26/6656, ttl=64 (reply in 66)"
"66","2019-03-08 12:01:46","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=26/6656, ttl=128 (request in 65)"
"67","2019-03-08 12:01:47","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=27/6912, ttl=64 (reply in 68)"
"68","2019-03-08 12:01:47","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=27/6912, ttl=128 (request in 67)"
"69","2019-03-08 12:01:48","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=28/7168, ttl=64 (reply in 70)"
"70","2019-03-08 12:01:48","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=28/7168, ttl=128 (request in 69)"
"71","2019-03-08 12:01:49","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=29/7424, ttl=64 (reply in 72)"
"72","2019-03-08 12:01:49","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=29/7424, ttl=128 (request in 71)"
"73","2019-03-08 12:01:50","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=30/7680, ttl=64 (reply in 74)"
"74","2019-03-08 12:01:50","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=30/7680, ttl=128 (request in 73)"
"75","2019-03-08 12:01:51","192.168.141.131","192.168.141.2","ICMP","242","Echo (ping) request  id=0x075d, seq=31/7936, ttl=64 (reply in 76)"
"76","2019-03-08 12:01:51","192.168.141.2","192.168.141.131","ICMP","242","Echo (ping) reply    id=0x075d, seq=31/7936, ttl=128 (request in 75)"
