"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2019-03-08 11:40:08","192.168.141.131","192.168.141.2","DNS","93","Standard query 0x1851 A 3.debian.pool.ntp.org.localdomain"
"2","2019-03-08 11:40:08","192.168.141.131","192.168.141.2","DNS","93","Standard query 0x5a75 AAAA 3.debian.pool.ntp.org.localdomain"
"3","2019-03-08 11:40:26","Vmware_da:60:a4","Broadcast","ARP","60","Who has 192.168.141.1? Tell 192.168.141.131"
"4","2019-03-08 11:40:26","Vmware_c0:00:08","Vmware_da:60:a4","ARP","42","192.168.141.1 is at 00:50:56:c0:00:08"
"5","2019-03-08 11:40:26","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=1/256, ttl=64 (no response found!)"
"6","2019-03-08 11:40:27","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=2/512, ttl=64 (no response found!)"
"7","2019-03-08 11:40:28","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=3/768, ttl=64 (no response found!)"
"8","2019-03-08 11:40:29","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=4/1024, ttl=64 (no response found!)"
"9","2019-03-08 11:40:30","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=5/1280, ttl=64 (no response found!)"
"10","2019-03-08 11:40:31","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=6/1536, ttl=64 (no response found!)"
"11","2019-03-08 11:40:32","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=7/1792, ttl=64 (no response found!)"
"12","2019-03-08 11:40:33","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=8/2048, ttl=64 (no response found!)"
"13","2019-03-08 11:40:34","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=9/2304, ttl=64 (no response found!)"
"14","2019-03-08 11:40:35","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=10/2560, ttl=64 (no response found!)"
"15","2019-03-08 11:40:36","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=11/2816, ttl=64 (no response found!)"
"16","2019-03-08 11:40:37","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=12/3072, ttl=64 (no response found!)"
"17","2019-03-08 11:40:38","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=13/3328, ttl=64 (no response found!)"
"18","2019-03-08 11:40:39","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=14/3584, ttl=64 (no response found!)"
"19","2019-03-08 11:40:40","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=15/3840, ttl=64 (no response found!)"
"20","2019-03-08 11:40:41","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=16/4096, ttl=64 (no response found!)"
"21","2019-03-08 11:40:43","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=17/4352, ttl=64 (no response found!)"
"22","2019-03-08 11:40:44","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=18/4608, ttl=64 (no response found!)"
"23","2019-03-08 11:40:45","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=19/4864, ttl=64 (no response found!)"
"24","2019-03-08 11:40:46","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=20/5120, ttl=64 (no response found!)"
"25","2019-03-08 11:40:47","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=21/5376, ttl=64 (no response found!)"
"26","2019-03-08 11:40:48","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=22/5632, ttl=64 (no response found!)"
"27","2019-03-08 11:40:49","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=23/5888, ttl=64 (no response found!)"
"28","2019-03-08 11:40:50","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=24/6144, ttl=64 (no response found!)"
"29","2019-03-08 11:40:51","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=25/6400, ttl=64 (no response found!)"
"30","2019-03-08 11:40:52","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=26/6656, ttl=64 (no response found!)"
"31","2019-03-08 11:40:53","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=27/6912, ttl=64 (no response found!)"
"32","2019-03-08 11:40:54","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=28/7168, ttl=64 (no response found!)"
"33","2019-03-08 11:40:55","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=29/7424, ttl=64 (no response found!)"
"34","2019-03-08 11:40:56","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=30/7680, ttl=64 (no response found!)"
"35","2019-03-08 11:40:57","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=31/7936, ttl=64 (no response found!)"
"36","2019-03-08 11:40:58","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=32/8192, ttl=64 (no response found!)"
"37","2019-03-08 11:40:59","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=33/8448, ttl=64 (no response found!)"
"38","2019-03-08 11:41:00","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=34/8704, ttl=64 (no response found!)"
"39","2019-03-08 11:41:01","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=35/8960, ttl=64 (no response found!)"
"40","2019-03-08 11:41:02","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=36/9216, ttl=64 (no response found!)"
"41","2019-03-08 11:41:03","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=37/9472, ttl=64 (no response found!)"
"42","2019-03-08 11:41:04","192.168.141.131","192.168.141.1","ICMP","98","Echo (ping) request  id=0x06a9, seq=38/9728, ttl=64 (no response found!)"
"43","2019-03-08 11:41:04","Vmware_da:60:a4","Vmware_c0:00:08","ARP","60","Who has 192.168.141.1? Tell 192.168.141.131"
"44","2019-03-08 11:41:04","Vmware_c0:00:08","Vmware_da:60:a4","ARP","42","192.168.141.1 is at 00:50:56:c0:00:08"
